Seed no.,Date,Type of Soil,Sunlight,Frequency of water,Nitrogren,Phosphorus,Potassium,Height (mm),Number of leaves
Seed 68,25-Mar,Organic Soil,2,1,2.6,2.3,2.8,0,0
Seed 69,25-Mar,Organic Soil,2,1,1.5,1.2,3.3,0,0
Seed 70,25-Mar,Organic Soil,2,1,2,1.6,2.5,0,0
Seed 71,25-Mar,Organic Soil,2,1,1.8,2.2,2.9,0,0
Seed 72,25-Mar,Organic Soil,2,1,2.5,1.5,3.1,0,0
Seed 73,25-Mar,Organic Soil,2,1,1.7,2.1,2.6,0,0
Seed 74,25-Mar,Organic Soil,2,1,2.4,1.3,2.7,0,0
Seed 75,25-Mar,Organic Soil,2,1,1.6,1.9,3.2,0,0
Seed 76,25-Mar,Organic Soil,2,1,2.1,1.4,2.3,0,0
Seed 77,25-Mar,Organic Soil,2,1,2.3,1.8,3,0,0
Seed 78,25-Mar,Organic Soil,2,1,1.4,2,3.4,0,0
Seed 79,25-Mar,Organic Soil,2,1,2.7,1.6,2.9,0,0
Seed 80,25-Mar,Organic Soil,2,1,1.9,1.5,2.8,0,0
Seed 81,25-Mar,Organic Soil,2,1,2.2,1.2,3.1,0,0
Seed 82,25-Mar,Organic Soil,2,1,1.5,1.7,2.5,0,0
Seed 83,25-Mar,Organic Soil,2,1,2,2.3,2.4,0,0
Seed 84,25-Mar,Organic Soil,2,1,1.8,1.4,3.3,0,0
Seed 85,25-Mar,Organic Soil,2,1,2.4,2.2,3.1,0,0
Seed 86,25-Mar,Organic Soil,2,1,2.1,1.6,2.7,0,0
Seed 87,25-Mar,Organic Soil,2,1,2.6,1.3,2.6,0,0
Seed 88,25-Mar,Organic Soil,2,1,1.7,2,2.3,0,0
Seed 89,25-Mar,Organic Soil,2,1,2.3,1.9,3,0,0
Seed 90,25-Mar,Organic Soil,2,1,1.6,1.5,2.9,0,0
Seed 91,25-Mar,Organic Soil,2,1,2.5,1.8,3.4,0,0
Seed 92,25-Mar,Organic Soil,2,1,1.9,1.2,3.2,0,0
Seed 93,25-Mar,Organic Soil,2,1,2.2,1.7,2.5,0,0
Seed 94,25-Mar,Organic Soil,2,1,1.5,2.3,2.8,0,0
Seed 95,25-Mar,Organic Soil,2,1,2,1.4,2.4,0,0
Seed 96,25-Mar,Organic Soil,2,1,1.8,2.1,3.1,0,0
Seed 97,25-Mar,Organic Soil,2,1,2.3,1.5,3.1,0,0
Seed 98,25-Mar,Organic Soil,2,1,1.8,2,2.7,0,0
Seed 99,25-Mar,Organic Soil,2,1,2.7,1.2,2.8,0,0
Seed 100,25-Mar,Organic Soil,2,1,1.9,1.6,3.4,0,0
Seed 101,25-Mar,Organic Soil,2,1,2.1,1.4,2.9,0,0
Seed 102,25-Mar,Organic Soil,2,1,2.5,1.9,3.2,0,0
Seed 103,25-Mar,Organic Soil,2,1,1.7,1.8,2.5,0,0
Seed 104,25-Mar,Organic Soil,2,1,2.2,1.3,3,0,0
Seed 105,25-Mar,Organic Soil,2,1,1.5,2.2,2.3,0,0
Seed 106,25-Mar,Organic Soil,2,1,2,1.7,3.3,0,0
Seed 107,25-Mar,Organic Soil,2,1,1.6,1.9,2.6,0,0
Seed 108,25-Mar,Organic Soil,2,1,2.4,1.1,2.4,0,0
Seed 109,25-Mar,Organic Soil,2,1,2.6,1.6,3.1,0,0
Seed 110,25-Mar,Organic Soil,2,1,1.4,1.5,2.7,0,0
Seed 111,25-Mar,Organic Soil,2,1,2.8,2.1,2.6,0,0
Seed 112,25-Mar,Organic Soil,2,1,2.2,2.3,2.5,0,0
Seed 113,25-Mar,Organic Soil,2,1,1.7,2,2.9,0,0
Seed 114,25-Mar,Organic Soil,2,1,2,2.2,3.2,0,0
Seed 115,25-Mar,Organic Soil,2,1,1.5,1.2,3.4,0,0
Seed 116,25-Mar,Organic Soil,2,1,2.4,1.8,2.7,0,0
Seed 117,25-Mar,Organic Soil,2,1,2.3,2,3.1,0,0
Seed 118,25-Mar,Organic Soil,2,1,2.7,1.1,2.8,0,0
Seed 119,25-Mar,Organic Soil,2,1,1.9,1.4,3.3,0,0
Seed 120,25-Mar,Organic Soil,2,1,2.1,1.6,3,0,0
Seed 121,25-Mar,Organic Soil,2,1,2.5,2.2,2.3,0,0
Seed 122,25-Mar,Organic Soil,2,1,1.7,1.5,2.5,0,0
Seed 123,25-Mar,Organic Soil,2,1,2.2,1.3,2.6,0,0
Seed 124,25-Mar,Organic Soil,2,1,1.5,1.9,3.2,0,0
Seed 125,25-Mar,Organic Soil,2,1,2,1.7,2.4,0,0
Seed 126,25-Mar,Organic Soil,2,1,1.6,2.3,2.7,0,0
Seed 127,25-Mar,Organic Soil,2,1,2.4,2,2.9,0,0
Seed 128,25-Mar,Organic Soil,2,1,1.4,2.1,2.8,0,0
Seed 129,25-Mar,Organic Soil,2,1,2.8,1.2,3.1,0,0
Seed 130,25-Mar,Organic Soil,2,1,1.3,2.2,3.4,0,0
Seed 1,26-Mar,Loam Soil,2,1,2.4,1.3,3.2,33,2
Seed 2,26-Mar,Loam Soil,2,1,1.9,1.2,2.8,34,4
Seed 3,26-Mar,Loam Soil,2,1,2.1,1.6,3.1,30,2
Seed 4,26-Mar,Loam Soil,2,1,1.6,1.8,2.4,30,2
Seed 5,26-Mar,Loam Soil,2,1,2.2,1.9,3.3,40,3
Seed 6,26-Mar,Loam Soil,2,1,1.5,2.3,2.6,35,2
Seed 7,26-Mar,Loam Soil,2,1,2.3,1.8,2.9,21,2
Seed 8,26-Mar,Loam Soil,2,1,2.7,1.5,3.4,23,2
Seed 9,26-Mar,Loam Soil,2,1,1.8,1.4,3.1,33,2
Seed 10,26-Mar,Loam Soil,2,1,2.6,1.7,3.2,33,2
Seed 11,26-Mar,Loam Soil,2,1,1.7,1.3,2.9,26,2
Seed 12,26-Mar,Loam Soil,2,1,2,1.9,2.3,23,2
Seed 13,26-Mar,Loam Soil,2,1,2.5,2.2,2.7,24,2
Seed 14,26-Mar,Loam Soil,2,1,1.4,1.6,3.4,27,2
Seed 15,26-Mar,Loam Soil,2,1,2.8,2.1,2.4,43,3
Seed 16,26-Mar,Loam Soil,2,1,1.2,2,2.8,43,2
Seed 17,26-Mar,Loam Soil,2,1,2.2,1.4,3.2,33,3
Seed 18,26-Mar,Loam Soil,2,1,1.5,1.7,2.5,30,2
