Seed no.,Date,Type of Soil,Sunlight,Frequency of water,Nitrogren,Phosphorus,Potassium,Height (mm),Number of leaves
Seed 90,27-Mar,Organic Soil,1.5,1,2.2,1.6,3.1,0,0
Seed 91,27-Mar,Organic Soil,1.5,1,1.9,2,2.9,0,0
Seed 92,27-Mar,Organic Soil,1.5,1,2.5,1.8,3.2,5,2
Seed 93,27-Mar,Organic Soil,1.5,1,1.6,1.4,2.7,0,0
Seed 94,27-Mar,Organic Soil,1.5,1,2.3,1.3,3.3,5,2
Seed 95,27-Mar,Organic Soil,1.5,1,1.8,2.1,2.8,0,0
Seed 96,27-Mar,Organic Soil,1.5,1,2.1,1.7,3.1,0,0
Seed 97,27-Mar,Organic Soil,1.5,1,1.5,1.5,2.6,0,0
Seed 98,27-Mar,Organic Soil,1.5,1,2.4,1.3,3.4,0,0
Seed 99,27-Mar,Organic Soil,1.5,1,2.7,2,2.9,5,2
Seed 100,27-Mar,Organic Soil,1.5,1,1.7,1.4,2.5,0,0
Seed 101,27-Mar,Organic Soil,1.5,1,2,1.6,3.2,5,2
Seed 102,27-Mar,Organic Soil,1.5,1,2.2,1.3,3.1,0,0
Seed 103,27-Mar,Organic Soil,1.5,1,1.9,1.5,2.9,0,0
Seed 104,27-Mar,Organic Soil,1.5,1,2.5,1.6,3.2,5,2
Seed 105,27-Mar,Organic Soil,1.5,1,1.6,2,2.7,0,0
Seed 106,27-Mar,Organic Soil,1.5,1,2.3,1.7,3.3,0,0
Seed 107,27-Mar,Organic Soil,1.5,1,1.8,1.4,2.8,0,0
Seed 108,27-Mar,Organic Soil,1.5,1,2.1,2.2,3.1,0,0
Seed 109,27-Mar,Organic Soil,1.5,1,1.5,1.9,2.6,0,0
Seed 110,27-Mar,Organic Soil,1.5,1,2.4,1.5,3.4,5,2
Seed 111,27-Mar,Organic Soil,1.5,1,2.7,1.8,2.9,0,0
Seed 112,27-Mar,Organic Soil,1.5,1,1.7,1.6,2.5,0,0
Seed 113,27-Mar,Organic Soil,1.5,1,2,1.3,3.2,5,2
Seed 114,27-Mar,Organic Soil,1.5,1,2.6,2.3,2.7,0,0
Seed 115,27-Mar,Organic Soil,1.5,1,1.4,1.7,3.3,0,0
Seed 116,27-Mar,Organic Soil,1.5,1,2.8,1.5,2.8,8,2
Seed 117,27-Mar,Organic Soil,1.5,1,2.2,1.6,3.1,0,0
Seed 118,27-Mar,Organic Soil,1.5,1,1.9,2,2.9,0,0
Seed 119,27-Mar,Organic Soil,1.5,1,2.5,1.8,3.2,5,2
Seed 120,27-Mar,Organic Soil,1.5,1,1.6,1.4,2.7,0,0
Seed 121,27-Mar,Organic Soil,1.5,1,2.3,1.9,3.3,0,0
Seed 122,27-Mar,Organic Soil,1.5,1,1.8,1.7,2.8,0,0
Seed 123,27-Mar,Organic Soil,1.5,1,2.1,1.5,3.1,0,0
Seed 124,27-Mar,Organic Soil,1.5,1,1.5,2.2,2.6,5,2
Seed 125,27-Mar,Organic Soil,1.5,1,2.4,1.6,3.4,0,0
Seed 126,27-Mar,Organic Soil,1.5,1,2.7,1.8,2.9,0,0
Seed 127,27-Mar,Organic Soil,1.5,1,1.7,1.6,2.5,0,0
Seed 128,27-Mar,Organic Soil,1.5,1,2,1.4,3.2,0,0
Seed 129,27-Mar,Organic Soil,1.5,1,2.6,2.3,2.7,5,2
Seed 130,27-Mar,Organic Soil,1.5,1,1.4,1.9,3.3,0,0
Seed 1,28-Mar,Loam Soil,2,1,2.8,1.7,2.8,36,2
Seed 2,28-Mar,Loam Soil,2,1,2.2,1.6,3.1,38,4
Seed 3,28-Mar,Loam Soil,2,1,1.9,2,2.9,34,2
Seed 4,28-Mar,Loam Soil,2,1,2.5,1.8,3.2,32,2
Seed 5,28-Mar,Loam Soil,2,1,1.6,1.4,2.7,44,3
Seed 6,28-Mar,Loam Soil,2,1,2.3,1.9,3.3,40,2
Seed 7,28-Mar,Loam Soil,2,1,1.8,1.7,2.8,26,2
Seed 8,28-Mar,Loam Soil,2,1,2.1,1.5,3.1,28,2
Seed 9,28-Mar,Loam Soil,2,1,1.5,2.2,2.6,38,2
Seed 10,28-Mar,Loam Soil,2,1,2.7,1.5,3.4,38,2
Seed 11,28-Mar,Loam Soil,2,1,1.7,1.3,2.8,33,3
Seed 12,28-Mar,Loam Soil,2,1,2,2.2,3.1,28,2
Seed 13,28-Mar,Loam Soil,2,1,2.6,1.4,2.6,28,2
Seed 14,28-Mar,Loam Soil,2,1,1.4,1.9,3,33,2
Seed 15,28-Mar,Loam Soil,2,1,2.8,1.6,2.9,46,3
Seed 16,28-Mar,Loam Soil,2,1,2.2,1.8,3.3,46,2
Seed 17,28-Mar,Loam Soil,2,1,1.9,1.5,2.7,36,3
Seed 18,28-Mar,Loam Soil,2,1,2.5,2,3.2,35,2
Seed 19,28-Mar,Loam Soil,2,1,1.6,1.7,2.5,25,2
Seed 20,28-Mar,Loam Soil,2,1,2.3,1.4,3,31,2
Seed 21,28-Mar,Loam Soil,2,1,1.8,2.2,3.4,30,2
Seed 22,28-Mar,Loam Soil,2,1,2.1,1.6,2.6,31,4
Seed 23,28-Mar,Loam Soil,2,1,1.5,1.8,3,35,2
Seed 24,28-Mar,Loam Soil,2,1,2.4,1.7,2.9,40,2
Seed 25,28-Mar,Loam Soil,2,1,2.7,1.5,3.3,46,4
Seed 26,28-Mar,Loam Soil,2,1,1.7,1.3,2.7,48,2
Seed 27,28-Mar,Loam Soil,2,1,2,2.1,3.2,35,3
Seed 28,28-Mar,Loam Soil,2,1,2.6,1.4,2.6,31,3
Seed 29,28-Mar,Loam Soil,2,1,1.4,1.9,3,25,2
Seed 30,28-Mar,Loam Soil,2,1,2.8,1.6,2.9,30,2
Seed 31,28-Mar,Loam Soil,2,1,2.2,1.8,3.3,31,4
Seed 32,28-Mar,Loam Soil,2,1,1.9,1.5,2.7,0,0
Seed 33,28-Mar,Loam Soil,2,1,2.5,2,3.2,21,3
Seed 34,28-Mar,Loam Soil,2,1,1.6,1.7,2.5,35,4
Seed 35,28-Mar,Loam Soil,2,1,2.3,1.4,3,44,2
Seed 36,28-Mar,Loam Soil,2,1,1.8,2.2,3.4,48,2
Seed 37,28-Mar,Loam Soil,2,1,2.1,1.6,2.6,40,2
Seed 38,28-Mar,Loam Soil,2,1,1.5,1.8,3,39,2
Seed 39,28-Mar,Loam Soil,2,1,2.4,1.7,2.9,36,2
Seed 40,28-Mar,Loam Soil,2,1,2.7,1.5,3.3,31,2
Seed 41,28-Mar,Loam Soil,2,1,1.7,1.3,2.7,37,2
Seed 42,28-Mar,Loam Soil,2,1,2,2.1,3.2,33,2
Seed 43,28-Mar,Loam Soil,2,1,2.6,1.4,2.6,31,2
Seed 44,28-Mar,Loam Soil,2,1,1.4,1.9,3,31,2
Seed 45,28-Mar,Loam Soil,2,1,2.8,1.6,2.9,40,2
Seed 46,28-Mar,Loam Soil,2,1,2.2,1.8,3.3,52,2
Seed 47,28-Mar,Loam Soil,2,1,1.9,1.5,2.7,45,2
Seed 48,28-Mar,Loam Soil,2,1,2.7,1.5,3.4,31,2
Seed 49,28-Mar,Loam Soil,2,1,1.7,1.3,2.8,37,2
Seed 50,28-Mar,Loam Soil,2,1,2,2.2,3.1,35,2
Seed 51,28-Mar,Loam Soil,2,1,2.6,1.4,2.6,40,2
Seed 52,28-Mar,Loam Soil,2,1,1.4,1.9,3,36,4
Seed 53,28-Mar,Loam Soil,2,1,2.8,1.6,2.9,35,2
Seed 54,28-Mar,Loam Soil,2,1,2.2,1.8,3.3,34,4
Seed 55,28-Mar,Loam Soil,2,1,1.9,1.5,2.7,55,2
Seed 56,28-Mar,Loam Soil,2,1,2.5,2,3.2,49,2
Seed 57,28-Mar,Loam Soil,2,1,1.6,1.7,2.5,34,2
Seed 58,28-Mar,Loam Soil,2,1,2.3,1.4,3,31,2
Seed 59,28-Mar,Loam Soil,2,1,1.8,2.2,3.4,31,2
Seed 60,28-Mar,Loam Soil,2,1,2.1,1.6,2.6,33,2
Seed 61,28-Mar,Loam Soil,2,1,1.5,1.8,3,40,2
Seed 62,28-Mar,Loam Soil,2,1,2.4,1.7,2.9,27,4
Seed 63,28-Mar,Loam Soil,2,1,2.7,1.5,3.3,30,2
Seed 64,28-Mar,Loam Soil,2,1,1.7,1.3,2.7,30,2
Seed 65,28-Mar,Loam Soil,2,1,2,2.1,3.2,53,4
Seed 66,28-Mar,Organic Soil,1.5,0,2.6,1.4,2.6,5,2
Seed 67,28-Mar,Organic Soil,1.5,0,1.4,1.9,3,0,0
Seed 68,28-Mar,Organic Soil,1.5,0,2.8,1.6,2.9,5,2
Seed 69,28-Mar,Organic Soil,1.5,0,2.2,1.8,3.3,8,2
Seed 70,28-Mar,Organic Soil,1.5,0,1.9,1.5,2.7,0,0
Seed 71,28-Mar,Organic Soil,1.5,0,2.5,2,3.2,8,2
Seed 72,28-Mar,Organic Soil,1.5,0,1.6,1.7,2.5,0,0
Seed 73,28-Mar,Organic Soil,1.5,0,2.3,1.4,3,0,0
Seed 74,28-Mar,Organic Soil,1.5,0,1.8,2.2,3.4,7,2
Seed 75,28-Mar,Organic Soil,1.5,0,2.1,1.6,2.6,0,0
Seed 76,28-Mar,Organic Soil,1.5,0,1.5,1.8,3,0,0
Seed 77,28-Mar,Organic Soil,1.5,0,2.4,1.7,2.9,8,2
Seed 78,28-Mar,Organic Soil,1.5,0,2.7,1.5,3.3,0,0
Seed 79,28-Mar,Organic Soil,1.5,0,1.7,1.3,2.7,5,2
Seed 80,28-Mar,Organic Soil,1.5,0,2,2.1,3.2,0,0
Seed 81,28-Mar,Organic Soil,1.5,0,2.6,1.4,2.6,0,0
Seed 82,28-Mar,Organic Soil,1.5,0,1.4,1.9,3,5,2
Seed 83,28-Mar,Organic Soil,1.5,0,2.8,1.6,2.9,0,0
Seed 84,28-Mar,Organic Soil,1.5,0,2.2,1.8,3.3,0,0
Seed 85,28-Mar,Organic Soil,1.5,0,1.9,1.5,2.7,0,0
Seed 86,28-Mar,Organic Soil,1.5,0,2.5,2,3.2,0,0
Seed 87,28-Mar,Organic Soil,1.5,0,2.9,1.7,3.5,0,0
Seed 88,28-Mar,Organic Soil,1.5,0,1.8,1.6,2.7,8,2
Seed 89,28-Mar,Organic Soil,1.5,0,2.2,2.3,3.2,0,0
Seed 90,28-Mar,Organic Soil,1.5,0,2.7,1.9,2.8,0,0
Seed 91,28-Mar,Organic Soil,1.5,0,1.5,1.5,3.1,0,0
Seed 92,28-Mar,Organic Soil,1.5,0,2.3,1.8,3.6,5,2
Seed 93,28-Mar,Organic Soil,1.5,0,1.6,2.1,2.9,0,0
Seed 94,28-Mar,Organic Soil,1.5,0,2.6,1.3,3.5,5,2
Seed 95,28-Mar,Organic Soil,1.5,0,2,1.7,3.2,0,0
Seed 96,28-Mar,Organic Soil,1.5,0,2.8,2,2.7,0,0
Seed 97,28-Mar,Organic Soil,1.5,0,1.7,1.6,3.4,0,0
Seed 98,28-Mar,Organic Soil,1.5,0,2.4,1.9,2.8,0,0
Seed 99,28-Mar,Organic Soil,1.5,0,1.9,1.5,3.1,8,2
Seed 100,28-Mar,Organic Soil,1.5,0,2.1,2.3,3.6,0,0
Seed 101,28-Mar,Organic Soil,1.5,0,2.5,1.8,2.9,5,2
Seed 102,28-Mar,Organic Soil,1.5,0,1.6,2.1,3.5,0,0
Seed 103,28-Mar,Organic Soil,1.5,0,2.9,1.7,3.2,0,0
Seed 104,28-Mar,Organic Soil,1.5,0,1.8,1.6,2.7,8,2
Seed 105,28-Mar,Organic Soil,1.5,0,2.2,2.3,3.2,0,0
Seed 106,28-Mar,Organic Soil,1.5,0,2.7,1.9,2.8,0,0
Seed 107,28-Mar,Organic Soil,1.5,0,1.5,1.5,3.1,8,2
Seed 108,28-Mar,Organic Soil,1.5,0,2.3,1.8,3.6,0,0
Seed 109,28-Mar,Organic Soil,1.5,0,1.6,2.1,2.9,0,0
Seed 110,28-Mar,Organic Soil,1.5,0,2.6,1.3,3.5,8,2
Seed 111,28-Mar,Organic Soil,1.5,0,2,1.7,3.2,0,0
Seed 112,28-Mar,Organic Soil,1.5,0,2.8,2,2.7,0,0
Seed 113,28-Mar,Organic Soil,1.5,0,1.7,1.6,3.4,8,2
Seed 114,28-Mar,Organic Soil,1.5,0,2.4,1.9,2.8,0,0
Seed 115,28-Mar,Organic Soil,1.5,0,1.9,1.5,3.1,0,0
Seed 116,28-Mar,Organic Soil,1.5,0,2.1,2.3,3.6,8,2
Seed 117,28-Mar,Organic Soil,1.5,0,2.5,1.8,2.9,0,0
Seed 118,28-Mar,Organic Soil,1.5,0,1.6,2.1,3.5,0,0
Seed 119,28-Mar,Organic Soil,1.5,0,2.9,1.7,3.2,5,2
Seed 120,28-Mar,Organic Soil,1.5,0,1.8,1.6,2.7,0,0
Seed 121,28-Mar,Organic Soil,1.5,0,2.2,2.3,3.2,0,0
Seed 122,28-Mar,Organic Soil,1.5,0,2.7,1.9,2.8,0,0
Seed 123,28-Mar,Organic Soil,1.5,0,1.5,1.5,3.1,0,0
Seed 124,28-Mar,Organic Soil,1.5,0,2.3,1.8,3.6,5,2
Seed 125,28-Mar,Organic Soil,1.5,0,2.5,1.9,2.6,0,0
Seed 126,28-Mar,Organic Soil,1.5,0,1.6,2.3,3.1,0,0
Seed 127,28-Mar,Organic Soil,1.5,0,2.9,1.8,3.3,0,0
Seed 128,28-Mar,Organic Soil,1.5,0,1.7,1.5,2.9,0,0
Seed 129,28-Mar,Organic Soil,1.5,0,2.2,2,2.7,5,2
Seed 130,28-Mar,Organic Soil,1.5,0,2.6,1.6,3.5,0,0
Seed 1,29-Mar,Loam Soil,2,1,1.8,1.9,3.2,38,2
Seed 2,29-Mar,Loam Soil,2,1,2.3,1.7,2.8,39,4
Seed 3,29-Mar,Loam Soil,2,1,2.7,1.4,3,35,2
Seed 4,29-Mar,Loam Soil,2,1,1.5,2.1,3.3,33,2
Seed 5,29-Mar,Loam Soil,2,1,2,1.8,2.5,44,3
Seed 6,29-Mar,Loam Soil,2,1,2.4,2.2,3.4,41,2
Seed 7,29-Mar,Loam Soil,2,1,2.8,1.7,2.6,27,2
Seed 8,29-Mar,Loam Soil,2,1,1.9,1.6,3.1,28,4
Seed 9,29-Mar,Loam Soil,2,1,2.1,2,3.2,38,2
Seed 10,29-Mar,Loam Soil,2,1,2.5,1.9,2.6,39,2
Seed 11,29-Mar,Loam Soil,2,1,1.6,2.3,3.1,34,3
Seed 12,29-Mar,Loam Soil,2,1,2.9,1.8,3.3,28,2
Seed 13,29-Mar,Loam Soil,2,1,1.7,1.5,2.9,29,2
Seed 14,29-Mar,Loam Soil,2,1,2.2,2,2.7,34,2
Seed 15,29-Mar,Loam Soil,2,1,2.6,1.6,3.5,48,3
Seed 16,29-Mar,Loam Soil,2,1,1.8,1.9,3.2,49,2
Seed 17,29-Mar,Loam Soil,2,1,2.3,1.7,2.8,37,4
Seed 18,29-Mar,Loam Soil,2,1,2.7,1.4,3,36,2
Seed 19,29-Mar,Loam Soil,2,1,1.5,2.1,3.3,26,2
Seed 20,29-Mar,Loam Soil,2,1,2,1.8,2.5,33,4
Seed 21,29-Mar,Loam Soil,2,1,2.4,2.2,3.4,30,2
Seed 22,29-Mar,Loam Soil,2,1,2.8,1.7,2.6,31,4
Seed 23,29-Mar,Loam Soil,2,1,1.9,1.6,3.1,35,2
Seed 24,29-Mar,Loam Soil,2,1,2.1,2,3.2,40,2
Seed 25,29-Mar,Loam Soil,2,1,2.5,1.9,2.6,50,4
Seed 26,29-Mar,Loam Soil,2,1,1.6,2.3,3.1,50,2
Seed 27,29-Mar,Loam Soil,2,1,2.9,1.8,3.3,35,3
Seed 28,29-Mar,Loam Soil,2,1,1.7,1.5,2.9,31,3
Seed 29,29-Mar,Loam Soil,2,1,2.2,2,2.7,26,2
Seed 30,29-Mar,Loam Soil,2,1,2.6,1.6,3.5,31,3
Seed 31,29-Mar,Loam Soil,2,1,1.8,1.9,3.2,31,4
Seed 32,29-Mar,Loam Soil,2,1,2.3,1.7,2.8,0,0
Seed 33,29-Mar,Loam Soil,2,1,2.7,1.4,3,23,3
Seed 34,29-Mar,Loam Soil,2,1,2.7,1.5,3.2,35,4
Seed 35,29-Mar,Loam Soil,2,1,1.8,2,3.5,48,2
Seed 36,29-Mar,Loam Soil,2,1,2.4,1.6,2.9,50,2
Seed 37,29-Mar,Loam Soil,2,1,2.1,1.9,3.3,42,2
Seed 38,29-Mar,Loam Soil,2,1,2.8,1.4,2.6,39,2
Seed 39,29-Mar,Loam Soil,2,1,1.6,2.1,2.8,38,2
Seed 40,29-Mar,Loam Soil,2,1,2.2,1.7,3.4,33,2
Seed 41,29-Mar,Loam Soil,2,1,1.9,1.8,3.1,40,2
Seed 42,29-Mar,Loam Soil,2,1,2.5,1.3,2.7,35,2
Seed 43,29-Mar,Loam Soil,2,1,2.3,2.2,3.6,31,2
Seed 44,29-Mar,Loam Soil,2,1,2,1.6,3,35,2
Seed 45,29-Mar,Loam Soil,2,1,2.6,1.9,2.5,40,2
Seed 46,29-Mar,Loam Soil,2,1,1.7,1.5,3.2,53,2
Seed 47,29-Mar,Loam Soil,2,1,2.9,1.4,3.5,46,2
Seed 48,29-Mar,Loam Soil,2,1,1.8,2,2.9,32,2
Seed 49,29-Mar,Loam Soil,2,1,2.4,1.7,3.3,39,2
Seed 50,29-Mar,Loam Soil,2,1,2.1,1.9,2.6,35,2
Seed 51,29-Mar,Loam Soil,2,1,2.8,1.6,2.8,41,2
Seed 52,29-Mar,Loam Soil,2,1,1.6,2.1,3.4,38,4
Seed 53,29-Mar,Loam Soil,2,1,2.2,1.8,3.1,37,2
Seed 54,29-Mar,Loam Soil,2,1,1.9,1.3,2.7,34,4
Seed 55,29-Mar,Loam Soil,2,1,2.5,2.2,3.6,56,2
Seed 56,29-Mar,Loam Soil,2,1,2.3,1.6,3,51,2
Seed 57,29-Mar,Loam Soil,2,1,2,1.9,2.5,36,2
Seed 58,29-Mar,Loam Soil,2,1,2.6,1.5,3.2,35,2
Seed 59,29-Mar,Loam Soil,2,1,2.9,1.4,3.5,33,2
Seed 60,29-Mar,Loam Soil,2,1,1.8,2,2.9,37,2
Seed 61,29-Mar,Loam Soil,2,1,2.4,1.7,3.3,45,2
Seed 62,29-Mar,Loam Soil,2,1,2.1,1.9,2.6,27,4
Seed 63,29-Mar,Loam Soil,2,1,2.8,1.6,2.8,31,2
Seed 64,29-Mar,Loam Soil,2,1,1.6,2.1,3.4,35,3
Seed 65,29-Mar,Loam Soil,2,1,2.2,1.8,3.1,53,4
Seed 66,29-Mar,Organic Soil,1.5,0,1.9,1.3,2.7,8,2
Seed 67,29-Mar,Organic Soil,1.5,0,2.5,2.2,3.6,0,0
Seed 68,29-Mar,Organic Soil,1.5,0,2.3,1.6,3,5,2
Seed 69,29-Mar,Organic Soil,1.5,0,2,1.9,2.5,8,2
Seed 70,29-Mar,Organic Soil,1.5,0,2.6,1.5,3.2,0,0
Seed 71,29-Mar,Organic Soil,1.5,0,2.9,1.4,3.5,8,2
Seed 72,29-Mar,Organic Soil,1.5,0,1.8,2,2.9,0,0
Seed 73,29-Mar,Organic Soil,1.5,0,2.1,1.6,3.2,0,0
Seed 74,29-Mar,Organic Soil,1.5,0,2.8,1.9,2.6,10,2
Seed 75,29-Mar,Organic Soil,1.5,0,1.9,1.3,2.9,0,0
Seed 76,29-Mar,Organic Soil,1.5,0,2.5,2.2,3.1,0,0
Seed 77,29-Mar,Organic Soil,1.5,0,2.3,1.5,3.4,10,2
Seed 78,29-Mar,Organic Soil,1.5,0,2,1.8,2.7,0,0
Seed 79,29-Mar,Organic Soil,1.5,0,2.6,1.7,3.5,8,2
Seed 80,29-Mar,Organic Soil,1.5,0,1.7,1.4,3.3,0,0
Seed 81,29-Mar,Organic Soil,1.5,0,2.9,2.1,2.8,0,0
Seed 82,29-Mar,Organic Soil,1.5,0,1.8,1.6,3,8,2
Seed 83,29-Mar,Organic Soil,1.5,0,2.4,1.9,2.5,0,0
Seed 84,29-Mar,Organic Soil,1.5,0,2.2,1.5,3.2,8,2
Seed 85,29-Mar,Organic Soil,1.5,0,2.7,1.3,2.6,0,0
Seed 86,29-Mar,Organic Soil,1.5,0,2.1,1.8,3.4,5,2
Seed 87,29-Mar,Organic Soil,1.5,0,2.8,1.7,2.9,0,0
Seed 88,29-Mar,Organic Soil,1.5,0,1.9,1.4,3.1,8,2
Seed 89,29-Mar,Organic Soil,1.5,0,2.5,2.1,2.7,0,0
Seed 90,29-Mar,Organic Soil,1.5,0,2.3,1.6,3.5,0,0
Seed 91,29-Mar,Organic Soil,1.5,0,2,1.3,3.3,0,0
Seed 92,29-Mar,Organic Soil,1.5,0,2.6,2.2,2.8,8,2
Seed 93,29-Mar,Organic Soil,1.5,0,1.7,1.6,3,0,0
Seed 94,29-Mar,Organic Soil,1.5,0,2.9,1.8,2.5,8,2
Seed 95,29-Mar,Organic Soil,1.5,0,1.8,1.5,3.2,0,0
Seed 96,29-Mar,Organic Soil,1.5,0,2.4,1.3,2.6,0,0
Seed 97,29-Mar,Organic Soil,1.5,0,2.2,1.9,3.4,0,0
Seed 98,29-Mar,Organic Soil,1.5,0,2.7,1.7,2.9,0,0
Seed 99,29-Mar,Organic Soil,1.5,0,2.1,1.4,3.1,8,2
Seed 100,29-Mar,Organic Soil,1.5,0,2.8,2.1,2.7,0,0
Seed 101,29-Mar,Organic Soil,1.5,0,1.9,1.6,3.5,8,2
Seed 102,29-Mar,Organic Soil,1.5,0,2.5,1.3,3.3,0,0
Seed 103,29-Mar,Organic Soil,1.5,0,2.3,2.2,2.8,0,0
Seed 104,29-Mar,Organic Soil,1.5,0,2,1.8,3,8,2
Seed 105,29-Mar,Organic Soil,1.5,0,2.6,1.5,2.5,0,0
Seed 106,29-Mar,Organic Soil,1.5,0,1.7,1.3,3.2,0,0
Seed 107,29-Mar,Organic Soil,1.5,0,2.9,1.9,2.6,11,2
Seed 108,29-Mar,Organic Soil,1.5,0,1.8,1.6,3.4,0,0
Seed 109,29-Mar,Organic Soil,1.5,0,2.4,1.5,2.9,0,0
Seed 110,29-Mar,Organic Soil,1.5,0,2.2,1.4,3.1,10,2
Seed 111,29-Mar,Organic Soil,1.5,0,2,1.3,3.3,0,0
Seed 112,29-Mar,Organic Soil,1.5,0,2.6,2.2,2.8,0,0
Seed 113,29-Mar,Organic Soil,1.5,0,1.7,1.6,3,8,2
Seed 114,29-Mar,Organic Soil,1.5,0,2.9,1.8,2.5,0,0
Seed 115,29-Mar,Organic Soil,1.5,0,1.8,1.5,3.2,0,0
Seed 116,29-Mar,Organic Soil,1.5,0,2.4,1.3,2.6,10,2
Seed 117,29-Mar,Organic Soil,1.5,0,2.2,1.9,3.4,0,0
Seed 118,29-Mar,Organic Soil,1.5,0,2.7,1.7,2.9,0,0
Seed 119,29-Mar,Organic Soil,1.5,0,2.1,1.4,3.1,8,2
Seed 120,29-Mar,Organic Soil,1.5,0,2.8,2.1,2.7,0,0
Seed 121,29-Mar,Organic Soil,1.5,0,1.9,1.6,3.5,7,2
Seed 122,29-Mar,Organic Soil,1.5,0,2.5,1.3,3.3,0,0
Seed 123,29-Mar,Organic Soil,1.5,0,2.3,2.2,2.8,0,0
Seed 124,29-Mar,Organic Soil,1.5,0,2,1.8,3,8,2
Seed 125,29-Mar,Organic Soil,1.5,0,2.6,1.5,2.5,0,0
Seed 126,29-Mar,Organic Soil,1.5,0,1.7,1.3,3.2,0,0
Seed 127,29-Mar,Organic Soil,1.5,0,2.9,1.9,2.6,0,0
Seed 128,29-Mar,Organic Soil,1.5,0,1.8,1.6,3.4,0,0
Seed 129,29-Mar,Organic Soil,1.5,0,2.4,1.5,2.9,8,2
Seed 130,29-Mar,Organic Soil,1.5,0,2.2,1.4,3.1,5,2
Seed 1,30-Mar,Loam Soil,2,1,1.8,1.9,3.2,38,2
Seed 2,30-Mar,Loam Soil,2,1,2.3,1.7,2.8,40,4
Seed 3,30-Mar,Loam Soil,2,1,2.7,1.4,3,35,2
Seed 4,30-Mar,Loam Soil,2,1,1.5,2.1,3.3,35,2
Seed 5,30-Mar,Loam Soil,2,1,2,1.8,2.5,46,2
Seed 6,30-Mar,Loam Soil,2,1,2.4,2.2,3.4,43,2
Seed 7,30-Mar,Loam Soil,2,1,2.8,1.7,2.6,30,2
Seed 8,30-Mar,Loam Soil,2,1,1.9,1.6,3.1,28,4
Seed 9,30-Mar,Loam Soil,2,1,2.1,2,3.2,39,2
Seed 10,30-Mar,Loam Soil,2,1,2.5,1.9,2.6,39,2
Seed 11,30-Mar,Loam Soil,2,1,1.6,2.3,3.1,34,3
Seed 12,30-Mar,Loam Soil,2,1,2.9,1.8,3.3,29,2
Seed 13,30-Mar,Loam Soil,2,1,1.7,1.5,2.9,29,2
Seed 14,30-Mar,Loam Soil,2,1,2.2,2,2.7,34,2
Seed 15,30-Mar,Loam Soil,2,1,2.6,1.6,3.5,49,3
Seed 16,30-Mar,Loam Soil,2,1,1.8,1.9,3.2,49,4
Seed 17,30-Mar,Loam Soil,2,1,2.3,1.7,2.8,38,4
Seed 18,30-Mar,Loam Soil,2,1,2.7,1.4,3,37,2
Seed 19,30-Mar,Loam Soil,2,1,1.5,2.1,3.3,26,2
Seed 20,30-Mar,Loam Soil,2,1,2,1.8,2.5,33,4
Seed 21,30-Mar,Loam Soil,2,1,2.4,2.2,3.4,33,2
Seed 22,30-Mar,Loam Soil,2,1,2.8,1.7,2.6,31,4
Seed 23,30-Mar,Loam Soil,2,1,1.9,1.6,3.1,37,2
Seed 24,30-Mar,Loam Soil,2,1,2.1,2,3.2,42,4
Seed 25,30-Mar,Loam Soil,2,1,2.5,1.9,2.6,50,4
Seed 26,30-Mar,Loam Soil,2,1,1.6,2.3,3.1,53,2
Seed 27,30-Mar,Loam Soil,2,1,2.9,1.8,3.3,35,3
Seed 28,30-Mar,Loam Soil,2,1,1.7,1.5,2.9,31,2
Seed 29,30-Mar,Loam Soil,2,1,2.2,2,2.7,30,2
Seed 30,30-Mar,Loam Soil,2,1,2.6,1.6,3.5,31,2
Seed 31,30-Mar,Loam Soil,2,1,1.8,1.9,3.2,51,4
Seed 32,30-Mar,Loam Soil,2,1,2.3,1.7,2.8,0,0
Seed 33,30-Mar,Loam Soil,2,1,2.7,1.4,3,23,3
Seed 34,30-Mar,Loam Soil,2,1,2.7,1.5,3.2,35,4
Seed 35,30-Mar,Loam Soil,2,1,1.8,2,3.5,48,2
Seed 36,30-Mar,Loam Soil,2,1,2.4,1.6,2.9,50,2
Seed 37,30-Mar,Loam Soil,2,1,2.1,1.9,3.3,43,2
Seed 38,30-Mar,Loam Soil,2,1,2.8,1.4,2.6,40,2
Seed 39,30-Mar,Loam Soil,2,1,1.6,2.1,2.8,38,2
Seed 40,30-Mar,Loam Soil,2,1,2.2,1.7,3.4,36,2
Seed 41,30-Mar,Loam Soil,2,1,1.9,1.8,3.1,40,3
Seed 42,30-Mar,Loam Soil,2,1,2.5,1.3,2.7,36,2
Seed 43,30-Mar,Loam Soil,2,1,2.3,2.2,3.6,33,2
Seed 44,30-Mar,Loam Soil,2,1,2,1.6,3,35,2
Seed 45,30-Mar,Loam Soil,2,1,2.6,1.9,2.5,40,2
Seed 46,30-Mar,Loam Soil,2,1,1.7,1.5,3.2,53,2
Seed 47,30-Mar,Loam Soil,2,1,2.9,1.4,3.5,48,2
Seed 48,30-Mar,Loam Soil,2,1,1.8,2,2.9,33,2
Seed 49,30-Mar,Loam Soil,2,1,2.4,1.7,3.3,39,2
Seed 50,30-Mar,Loam Soil,2,1,2.1,1.9,2.6,38,2
Seed 51,30-Mar,Loam Soil,2,1,2.8,1.6,2.8,42,2
