Type of Soil,Date,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,
Loam Soil,,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.8,1.3,1.4,1.4,1.8,1.8,1.4,1.4,1.4,1.4,1.8,1.4,1.9,1.3,1.7,1.3,1.6,0.6,1.1,0.7,0.1,0.1,
Loam Soil,,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,1.577272727,2,1.8,1.9,2.2,2.2,2.2,1.8,1.8,1.8,1.9,2,2.1,1.3,1.8,1.8,1.8,1.8,0.7,0.9,0.5,0.2,0.2,
Loam Soil,,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.290909091,1.1,2,1.7,1.6,1.7,1.7,1.3,1.3,1.3,1.7,1.1,1.5,1.7,1.5,1.6,2,1.5,0.5,0.8,0.6,0.1,0.1,
Loam Soil,,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.4,1.5,1.5,1.8,1.6,1.6,2.2,2.2,2.2,1.5,1.4,1.3,1.5,1.6,1.4,1.5,1.9,0.8,1,0.8,0.2,0.2,
Loam Soil,,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.6,1.6,2.2,1.7,2,2,1.6,1.6,1.6,2.2,1.6,1.9,1.8,1.4,1.9,1.6,1.7,0.7,0.9,0.5,0.1,0.1,
Loam Soil,,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,1.563636364,2.2,2.3,1.8,1.5,1.9,1.9,1.9,1.9,1.9,1.8,2.2,1.3,1.9,1.7,1.5,2.3,1.4,0.9,0.8,0.7,0.3,0.3,
Loam Soil,,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.5,1.9,1.6,1.3,2.3,2.3,1.5,1.5,1.5,1.6,1.5,1.6,1.6,1.9,1.7,1.9,1.6,0.6,1,0.6,0.2,0.2,
Loam Soil,,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.3,1.2,1.4,2.1,1.8,1.8,1.7,1.7,1.7,1.4,1.3,1.8,1.4,1.3,1.6,1.2,1.8,0.7,0.9,0.7,0.2,0.2,
Loam Soil,,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.9,2.1,2.3,1.4,1.5,1.5,1.2,1.2,1.2,2.3,1.9,1.4,1.8,1.8,1.3,2.1,1.5,0.5,1.1,0.5,0.1,0.1,
Loam Soil,,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.504545455,1.7,1.5,1.9,1.9,2,2,2.1,2.1,2.1,1.9,1.7,1.7,1.5,1.6,1.5,1.5,1.9,0.8,0.9,0.6,0.1,0.1,
Loam Soil,,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,2.3,1.1,1.7,1.6,1.6,1.6,1.4,1.4,1.4,1.7,2.3,2.1,1.7,1.9,1.8,1.1,1.7,0.9,0.8,0.8,0.2,0.2,
Loam Soil,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2,1.4,1.6,1.8,1.9,1.9,1.7,1.7,1.7,1.6,2,1.5,1.6,1.4,1.7,1.4,1.4,0.6,1,0.5,0.2,0.2,
Loam Soil,,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,2.1,1.7,2,1.5,1.7,1.7,1.9,1.9,1.9,2,2.1,1.9,1.4,1.7,1.4,1.7,1.6,0.7,0.9,0.7,0.1,0.1,
Loam Soil,,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.272727273,1.2,1.3,1.8,2,1.4,1.4,1.3,1.3,1.3,1.8,1.2,1.3,1.9,1.5,1.8,1.3,1.8,0.5,1.1,0.6,0.1,0.1,
Loam Soil,,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,2.2,2.1,1.4,1.7,1.5,1.5,1.5,1.5,1.5,1.4,2.2,1.6,1.5,1.6,1.5,2.1,1.5,0.8,1,0.7,0.2,0.2,
Loam Soil,,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.6,1.6,1.9,1.4,2,2,2.2,2.2,2.2,1.9,1.6,1.8,1.7,1.4,1.9,1.6,1.9,0.7,0.7,0.5,0.2,0.2,
Loam Soil,,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.7,1.2,1.7,2.2,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.4,1.3,1.7,1.6,1.2,1.7,0.9,0.9,0.6,0.1,0.1,
Loam Soil,,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.9,2.2,1.5,1.6,1.9,1.9,1.8,1.8,1.8,1.5,1.9,1.7,1.6,1.9,1.7,2.2,1.4,0.6,0.8,0.8,0.1,0.1,
Loam Soil,,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.286363636,1.1,1.5,2.2,1.8,1.4,1.4,1.4,1.4,1.4,2.2,1.1,1.2,1.8,1.3,1.4,1.5,1.6,0.7,1,0.5,0.2,0.2,
Loam Soil,,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.404545455,1.6,1.4,1.6,1.7,2.1,2.1,1.7,1.7,1.7,1.6,1.6,1.5,1.4,1.8,1.8,1.4,1.8,0.6,0.9,0.5,0.2,0.2,
Loam Soil,,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.281818182,1.5,1.6,1.5,1.5,1.7,1.7,1.2,1.2,1.2,1.5,1.5,1.9,1.6,1.5,1.6,1.6,1.5,0.8,0.8,0.6,0.1,0.1,
Loam Soil,,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,2.1,1.7,1.3,1.3,1.8,1.8,2.1,2.1,2.1,1.3,2.1,1.6,1.9,1.6,1.9,1.7,1.9,0.9,1,0.4,0.1,0.1,
Loam Soil,,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,2.3,1.5,2.1,2.1,1.3,1.3,1.3,1.3,1.3,2.1,2.3,1.4,1.5,1.4,1.5,1.5,1.7,0.5,0.9,0.5,0.2,0.2,
Loam Soil,,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,2,2.3,1.4,1.4,2.2,2.2,1.7,1.7,1.7,1.4,2,1.8,1.7,1.7,1.7,2.3,1.4,0.7,1.1,0.4,0.2,0.2,
Loam Soil,,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,1.486363636,2.2,1.8,1.7,1.9,1.6,1.6,1.9,1.9,1.9,1.7,2.2,1.5,1.5,1.9,1.4,1.8,1.6,0.8,1,0.6,0.1,0.1,
Loam Soil,,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.254545455,1.2,1.1,1.6,1.6,1.9,1.9,1.3,1.3,1.3,1.6,1.2,1.9,1.8,1.3,1.8,1.1,1.8,0.7,0.7,0.3,0.1,0.1,
Loam Soil,,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.313636364,1.8,1.4,1.5,1.8,1.5,1.5,1.5,1.5,1.5,1.5,1.8,1.3,1.3,1.8,1.6,1.4,1.5,0.9,0.9,0.5,0.2,0.2,
Loam Soil,,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,2,1.2,2.2,1.5,1.4,1.4,2.2,2.2,2.2,2.2,2,1.6,1.6,1.4,1.5,1.2,1.9,0.6,0.8,0.6,0.2,0.2,
Loam Soil,,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.354545455,1.1,2.2,1.4,1.5,2,2,1.6,1.6,1.6,1.4,1.1,1.4,1.4,1.6,1.9,2.2,1.7,0.5,1,0.4,0.1,0.1,
Loam Soil,,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.4,1.9,1.8,1.3,1.7,1.7,1.8,1.8,1.8,1.8,1.4,1.8,1.9,1.3,1.7,1.9,1.4,0.7,0.9,0.5,0.1,0.1,
Loam Soil,,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.327272727,1.6,1.5,1.3,2.2,1.9,1.9,1.4,1.4,1.4,1.3,1.6,1.5,1.6,1.7,1.4,1.5,1.6,0.8,0.8,0.4,0.2,0.2,
Loam Soil,,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,1.531818182,2.2,2,2.1,1.4,1.6,1.6,1.7,1.7,1.7,2.1,2.2,1.9,1.3,1.9,1.8,2,1.8,0.7,1,0.6,0.2,0.2,
Loam Soil,,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.5,2.1,1.7,1.9,2.1,2.1,1.2,1.2,1.2,1.7,1.5,1.3,1.8,1.5,1.5,2.1,1.5,0.9,0.9,0.3,0.1,0.1,
Loam Soil,,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.377272727,1.3,1.3,1.5,1.6,1.8,1.8,2.1,2.1,2.1,1.5,1.3,1.6,1.5,1.8,1.9,1.3,1.4,0.6,1.1,0.5,0.1,0.1,
Loam Soil,,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.309090909,1.9,1.6,1.3,1.8,1.3,1.3,1.4,1.4,1.4,1.3,1.9,1.4,1.7,1.5,1.6,1.6,1.9,0.5,1,0.6,0.2,0.2,
Loam Soil,,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.509090909,1.7,1.8,2,1.5,2.2,2.2,1.7,1.7,1.7,2,1.7,1.8,1.4,1.9,1.7,1.8,1.7,0.7,1.2,0.4,0.2,0.2,
Loam Soil,,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,1.459090909,2.3,1.7,1.4,2,1.6,1.6,1.9,1.9,1.9,1.4,2.3,1.5,1.9,1.6,1.4,1.7,1.6,0.8,0.9,0.5,0.1,0.1,
Loam Soil,,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,1.481818182,2,2.3,1.6,1.7,1.9,1.9,1.5,1.5,1.5,1.6,2,1.9,1.6,1.4,1.8,2.3,1.8,0.7,1,0.4,0.1,0.1,
Loam Soil,,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,2.1,1.4,1.9,1.4,1.5,1.5,1.9,1.9,1.9,1.9,2.1,1.3,1.5,1.7,1.6,1.4,1.9,0.9,1.1,0.6,0.2,0.2,
Loam Soil,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.2,1.2,1.5,2.2,1.4,1.4,1.3,1.3,1.3,1.5,1.2,1.7,1.7,1.6,1.9,1.2,1.7,0.6,0.9,0.3,0.2,0.2,
Loam Soil,,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,2.2,1.6,1.8,1.6,2,2,1.7,1.7,1.7,1.8,2.2,1.5,1.9,1.9,1.5,1.6,1.6,0.5,0.8,0.5,0.1,0.1,
Loam Soil,,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.6,1.5,1.6,1.8,1.7,1.7,2.2,2.2,2.2,1.6,1.6,1.6,1.3,1.5,1.7,1.5,1.5,0.7,1,0.6,0.1,0.1,
Loam Soil,,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.4,2,2,1.7,1.9,1.9,1.6,1.6,1.6,2,1.4,1.4,1.8,1.7,1.4,2,1.4,0.8,0.9,0.4,0.3,0.3,
Loam Soil,,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.295454545,1.9,1.1,1.4,1.5,1.6,1.6,1.4,1.4,1.4,1.4,1.9,1.8,1.4,1.5,1.8,1.1,1.9,0.7,0.8,0.5,0.2,0.2,
Loam Soil,,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,2.1,1.7,1.3,1.3,2.1,2.1,1.8,1.8,1.8,1.3,2.1,1.2,1.9,1.8,1.6,1.7,1.7,0.9,1,0.4,0.2,0.2,
Loam Soil,,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.381818182,1.5,1.9,2.1,2.1,1.8,1.8,1.2,1.2,1.2,2.1,1.5,1.7,1.6,1.4,1.5,1.9,1.6,0.6,0.9,0.6,0.1,0.1,
Organix Soil,,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,1.490909091,2,2.2,1.7,1.4,1.3,1.3,2.1,2.1,2.1,1.7,2,1.5,1.5,1.9,1.9,2.2,1.8,0.5,1.1,0.3,0.1,0.1,
Organix Soil,,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.7,1.4,1.5,1.9,2.2,2.2,1.5,1.5,1.5,1.5,1.7,1.9,1.7,1.6,1.7,1.4,1.9,0.7,0.9,0.5,0.2,0.2,
Organix Soil,,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,1.431818182,2.3,2.1,1.3,1.6,1.6,1.6,1.7,1.7,1.7,1.3,2.3,1.3,1.3,1.6,1.7,2.1,1.7,0.8,0.8,0.6,0.2,0.2,
Organix Soil,,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.413636364,1.2,1.5,2,1.8,1.9,1.9,1.9,1.9,1.9,2,1.2,1.6,1.8,1.7,1.4,1.5,1.6,0.7,1,0.4,0.1,0.1,
Organix Soil,,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.245454545,1.6,1.2,1.4,1.5,1.5,1.5,1.3,1.3,1.3,1.4,1.6,1.4,1.5,1.9,1.8,1.2,1.5,0.9,0.9,0.5,0.1,0.1,
Organix Soil,,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,2.2,1.8,1.6,2,1.4,1.4,1.6,1.6,1.6,1.6,2.2,1.8,1.9,1.3,1.5,1.8,1.4,0.6,1.1,0.4,0.2,0.2,
Organix Soil,,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.522727273,1.5,1.6,1.9,1.7,2,2,2.2,2.2,2.2,1.9,1.5,1.5,1.6,1.8,1.9,1.6,1.9,0.5,1,0.6,0.2,0.2,
Organix Soil,,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,1.304545455,2.1,1.3,1.5,1.4,1.6,1.6,1.4,1.4,1.4,1.5,2.1,1.9,1.4,1.6,1.6,1.3,1.7,0.7,0.7,0.3,0.1,0.1,
Organix Soil,,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.440909091,1.3,2,1.8,2.2,1.9,1.9,1.8,1.8,1.8,1.8,1.3,1.3,1.7,1.4,1.7,2,1.6,0.8,0.9,0.5,0.1,0.1,
Organix Soil,,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.390909091,1.9,1.7,1.6,1.6,1.3,1.3,1.7,1.7,1.7,1.6,1.9,1.7,1.6,1.9,1.4,1.7,1.8,0.7,0.8,0.6,0.2,0.2,
Organix Soil,,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.395454545,1.4,1.4,2,1.8,2.2,2.2,1.2,1.2,1.2,2,1.4,1.5,1.9,1.5,1.8,1.4,1.9,0.9,1,0.4,0.2,0.2,
Organix Soil,,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.422727273,1.8,1.1,1.8,1.7,1.5,1.5,2.1,2.1,2.1,1.8,1.8,1.8,1.5,1.7,1.6,1.1,1.7,1.2,0.9,0.3,0.1,0.1,
Organix Soil,,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,1.445454545,2,1.8,1.4,1.5,1.8,1.8,1.5,1.5,1.5,1.4,2,1.6,1.7,1.6,1.9,1.8,1.6,2,0.8,0.4,0.1,0.1,
Organix Soil,,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.363636364,1.6,1.7,1.3,1.3,1.7,1.7,1.9,1.9,1.9,1.3,1.6,1.5,1.3,1.3,1.5,1.7,1.5,1.7,1,0.2,0.2,0.2,
Organix Soil,,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.386363636,1.5,1.5,2.1,2.1,1.4,1.4,1.3,1.3,1.3,2.1,1.5,1.7,1.8,1.8,1.7,1.5,1.4,1.5,0.9,0.3,0.2,0.2,
Organix Soil,,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.454545455,1.2,2.3,1.7,1.4,2.1,2.1,1.7,1.7,1.7,1.7,1.2,1.9,1.4,1.5,1.4,2.3,1.9,1.3,1.1,0.2,0.1,0.1,
Organix Soil,,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.418181818,1.7,1.6,1.5,1.9,1.6,1.6,1.6,1.6,1.6,1.5,1.7,1.3,1.6,1.9,1.8,1.6,1.7,1.8,1,0.4,0.1,0.1,
Organix Soil,,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,1.359090909,2.3,1.3,1.3,1.6,1.9,1.9,1.4,1.4,1.4,1.3,2.3,1.6,1.4,1.4,1.6,1.3,1.6,1.6,0.7,0.2,0.2,0.2,
Organix Soil,,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.468181818,1.4,2,2,1.8,1.5,1.5,1.8,1.8,1.8,2,1.4,1.8,1.9,1.6,1.5,2,1.8,1.1,0.9,0.3,0.2,0.2,
Organix Soil,,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,1.345454545,2.2,1.4,1.4,1.5,1.3,1.3,1.3,1.3,1.3,1.4,2.2,1.4,1.6,1.5,1.9,1.4,1.9,1.9,0.8,0.4,0.1,0.1,
Organix Soil,,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.436363636,1.6,1.2,1.6,2,1.8,1.8,2.2,2.2,2.2,1.6,1.6,1.6,1.3,1.7,1.7,1.2,1.7,1.2,1,0.2,0.1,0.1,
Organix Soil,,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.427272727,1.3,1.9,1.9,1.7,1.7,1.7,1.6,1.6,1.6,1.9,1.3,1.5,1.8,1.4,1.4,1.9,1.6,2,0.9,0.3,0.2,0.2,
Organix Soil,,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,1.372727273,2,1.5,1.5,1.6,1.4,1.4,1.4,1.4,1.4,1.5,2,1.9,1.5,1.8,1.8,1.5,1.5,1.7,0.8,0.2,0.2,0.2,
